University,Url
 Lon Morris College Jacksonville,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006369&trns_subj_code=&trns_subj_crse=
 Lone Star College The Woodlands,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006508&trns_subj_code=&trns_subj_crse=
 Lubbock Christian University Lubbock,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006378&trns_subj_code=&trns_subj_crse=
 McLennan Community College Waco,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006429&trns_subj_code=&trns_subj_crse=
 McMurry University Abilene,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006402&trns_subj_code=&trns_subj_crse=
 Midland College Midland,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006459&trns_subj_code=&trns_subj_crse=
 Midwestern State University Wichita Falls,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006408&trns_subj_code=&trns_subj_crse=
 Mountain View College@ Dallas,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006438&trns_subj_code=&trns_subj_crse=
 Navarro College Corsicana,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006465&trns_subj_code=&trns_subj_crse=
 North Central Texas College Gainesville,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006245&trns_subj_code=&trns_subj_crse=
 North Lake College@ Irving,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006519&trns_subj_code=&trns_subj_crse=
 Northeast Lakeview College Universal City,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX038&trns_subj_code=&trns_subj_crse=
 Northeast Texas Comm College Mount Pleasant,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006531&trns_subj_code=&trns_subj_crse=
 Northwest Vista College San Antonio,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006517&trns_subj_code=&trns_subj_crse=
 Northwood University Cedar Hill,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006499&trns_subj_code=&trns_subj_crse=
 Oblate School Of Theology San Antonio,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX014&trns_subj_code=&trns_subj_crse=
